,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
77098,77098,Chile,"Smooth, spicy blackberry, cassis and licorice aromas include hints of heat and fresh asphalt prior to a full, wide palate. Spice, black currant, plum and peppery flavors end with toast, chocolate and a light warmth reminiscent of the nose. Drink this stacked Cabernet through 2024.",Potro de Piedra Family Reserve Single Vineyard,93,30.0,Curicó Valley,,,Michael Schachner,@wineschach,Viña Requingua 2012 Potro de Piedra Family Reserve Single Vineyard Cabernet Sauvignon-Cabernet Franc (Curicó Valley),Cabernet Sauvignon-Cabernet Franc,Viña Requingua
91627,91627,Chile,"Ripe blackberry and spice aromas are a touch meaty and earthy but mostly straightforward. A grabby, fleshy palate is obtuse but still balanced, while this tastes of berry and cassis, which are textbook flavors for Cabernet Sauvignon. A dry, woody finish with a chocolate note renders this better than most for $20.",Grand Reserve,92,20.0,Colchagua Valley,,,Michael Schachner,@wineschach,Lucatoni 2013 Grand Reserve Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,Lucatoni
63166,63166,Chile,"This is a powerful Cabernet comprised of all the key players. The nose is oaky, with coconut and vanilla aromas alongside fast and furious spiced berry scents. A meter-pushing palate tastes of spiced cherry, blackberry, herbs and chocolate, while the finish simmers with coffee and mocha notes. Drink through 2020.",Max Reserva,92,20.0,Aconcagua Valley,,,Michael Schachner,@wineschach,Errazuriz 2013 Max Reserva Cabernet Sauvignon (Aconcagua Valley),Cabernet Sauvignon,Errazuriz
5768,5768,Chile,"This is a powerful Cabernet comprised of all the key players. The nose is oaky, with coconut and vanilla aromas alongside fast and furious spiced berry scents. A meter-pushing palate tastes of spiced cherry, blackberry, herbs and chocolate, while the finish simmers with coffee and mocha notes. Drink through 2020.",Max Reserva,92,20.0,Aconcagua Valley,,,Michael Schachner,@wineschach,Errazuriz 2013 Max Reserva Cabernet Sauvignon (Aconcagua Valley),Cabernet Sauvignon,Errazuriz
106903,106903,Chile,"Complete and satisfying, this Mourvèdre delivers punchy, alluring aromas of leather, rubber and dark berry fruits. This is deep and pure in the mouth, with excellent balance. Flavors of raspberry, spiced plum, currant and herbs finish long and elegant. Drink through 2018.",Collection Unfiltered,92,30.0,Apalta,,,Michael Schachner,@wineschach,Lapostolle 2011 Collection Unfiltered Mourvèdre (Apalta),Mourvèdre,Lapostolle
